customer_id,first_name,last_name,email,phone,gender,date_of_birth,signup_date,state,city,membership_tier,preferred_channel,marketing_opt_in,referral_source,Age,Age_Group,Order_Count,Total_Revenue,Customer_Segment,Revenue_ZScore,Revenue_Outlier,Ticket_Count,Average_Satisfaction
CUST000542,Bethany,Miles,bethany.miles195@hotmail.com,910-672-7284x9824,F,1999-01-25,2021-05-22,mo,Knightstad,Gold,Mobile App,1,TV Ad,27.0,25-34,4.0,2117.87,Repeat Customer,-1.153930062230939,No,0.0,
CUST003259,Diana,Martin,diana.martin207@gmail.com,(703)358-1397,F,1942-04-05,2025-04-01,Wisconsin,North Jessica,Bronze,Mobile App,N,Search Engine,84.0,55+,3.0,4111.1900000000005,Repeat Customer,-0.6977424435595374,No,0.0,
CUST000335,Marisa,Roberts,marisa.roberts475@outlook.com,487.930.0244x7146,F,1975-01-06,2025-06-18,OH,Maryport,Gold,In-Store,Y,Influencer,51.0,45-54,2.0,5458.450000000001,Repeat Customer,-0.3894109508081315,No,1.0,2.0
CUST004110,Theodore,Adams,theodore.adams330@hotmail.com,001-795-421-0460,F,1997-03-05,2021-04-16,WI,West Karentown,BRONZE,In-Store,Y,Influencer,29.0,25-34,7.0,7277.17,High-Value Customer,0.02681802689241389,No,2.0,2.5
CUST005839,Wayne,Wall,wayne.wall947@outlook.com,275.307.7279,F,1986-07-06,2021-12-21,PA,Richtown,Gold,Online,yes,Social Media,40.0,35-44,3.0,7666.42,Repeat Customer,0.11590107957228618,No,2.0,4.5
CUST003310,Mary,Ryan,mary.ryan804@hotmail.com,393.326.3345x708,F,1958-04-29,2022-08-27,az,Markchester,silver,Online,no,Influencer,68.0,55+,2.0,5724.16,Repeat Customer,-0.32860103962619497,No,1.0,5.0
CUST002981,Mary,Reid,mary.reid446@gmail.com,700-446-8797,F,1942-03-24,2022-05-08,PA,North Donald,silver,Mobile App,,Friend Referral,84.0,55+,6.0,7896.73,High-Value Customer,0.1686094106261111,No,0.0,
CUST003459,Lisa,Jackson,lisa.jackson308@gmail.com,483.520.9397x49800,M,1971-04-16,2021-12-28,Tennessee,Woodberg,Gold,In-Store,Y,Email Campaign,55.0,55+,5.0,7297.280000000001,Repeat Customer,0.03142036520812946,No,1.0,4.0
CUST000632,Jennifer,Jones,jennifer.jones729@hotmail.com,(816)248-1980x7704,Other,1993-01-28,2024-08-22,WA,Camachofort,BRONZE,In-Store,,Email Campaign,33.0,25-34,4.0,6127.32,Repeat Customer,-0.23633456944400535,No,0.0,
CUST000910,Heidi,James,heidi.james234@yahoo.com,898.486.3653,Other,1989-04-23,2022-09-19,il,South Christianton,Silver,In-Store,no,Email Campaign,37.0,35-44,5.0,10938.92,Repeat Customer,0.8648395250311997,No,2.0,5.0
CUST002599,Ryan,Davis,ryan.davis262@outlook.com,(442)837-2466x762,F,1966-08-13,2025-11-28,Arizona,East Paulbury,Bronze,Mobile App,1,Influencer,60.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,4.0,3.6666666666666665
CUST004322,Lori,Harris,lori.harris940@gmail.com,527.709.1760x24026,F,2005-08-06,2020-10-28,MO,South Deborah,GOLD,Mobile App,,Search Engine,21.0,18-24,7.0,8997.33,High-Value Customer,0.42049074082384386,No,2.0,4.0
CUST003144,Lance,Mitchell,lance.mitchell238@yahoo.com,496-721-3239,M,1948-07-30,2026-04-29,Michigan,Nicholasfurt,Silver,Online,Y,Friend Referral,78.0,55+,2.0,3951.2799999999997,Repeat Customer,-0.7343391576354229,No,0.0,
CUST005159,  Caroline ,Cruz,caroline.cruz961@yahoo.com,586-575-6836x3331,M,1946-04-05,2024-09-15,IL,West Caleb,silver,In-Store,Y,Influencer,80.0,55+,4.0,7855.61,Repeat Customer,0.15919876161854182,No,0.0,
CUST002673,Mary,Edwards,mary.edwards688@hotmail.com,001-492-266-2247x76038,M,2008-05-31,2024-06-09,Florida,Hallport,SILVER,Online,yes,Influencer,18.0,18-24,6.0,16658.34,High-Value Customer,2.1737756667352848,No,1.0,5.0
CUST001482,Jeff,Rivera,jeff.rivera811@hotmail.com,(998)335-9667,F,1977-08-07,2024-12-17,Florida,Owenburgh,bronze,In-Store,0,Friend Referral,49.0,45-54,4.0,7759.0,Repeat Customer,0.13708877133105965,No,0.0,
CUST004058,Kevin,Randall,kevin.randall168@hotmail.com,(651)910-8030x615,F,2006-04-28,2023-01-10,NY,Bobhaven,bronze,In-Store,no,,20.0,18-24,6.0,6247.37,High-Value Customer,-0.20886014304909542,No,2.0,3.0
CUST003508,Dennis,Ellis,dennis.ellis859@hotmail.com,+1-716-411-8698x14218,M,1962-11-25,2024-08-08,MI,Jonathonborough,Silver,In-Store,no,Search Engine,63.0,55+,4.0,2937.27,Repeat Customer,-0.9664036566666814,No,0.0,
CUST005623,Caroline,Tucker,caroline.tucker707@yahoo.com,+1-369-534-4536x105,M,1943-12-23,2021-01-19,CA,Nelsonchester,silver,Online,Y,Social Media,82.0,55+,6.0,11054.82,High-Value Customer,0.8913641899139156,No,1.0,5.0
CUST000586,Angela,Clark,angela.clark628@gmail.com,957.882.4347,M,1953-02-21,2023-02-09,PA,Christinashire,Silver,Online,no,,73.0,55+,5.0,6598.67,Repeat Customer,-0.1284622588963937,No,1.0,5.0
CUST000206,Kelly,Thompson,kelly.thompson577@outlook.com,(406)248-4229x4057,Other,1988-06-17,2021-10-05,MO,Lake Willie,Silver,In-Store,0,TV Ad,38.0,35-44,5.0,6626.21,Repeat Customer,-0.12215950418655765,No,3.0,4.0
CUST003418,Austin,Sellers,austin.sellers860@yahoo.com,3854111504,M,1946-04-10,2024-03-18,NY,Wilsonhaven,gold,Online,,,80.0,55+,3.0,4917.3,Repeat Customer,-0.5132575634162572,No,2.0,3.0
CUST003555,  Kyle ,Ortiz,kyle.ortiz454@gmail.com,259.709.5198x09599,Other,2010-08-15,2024-04-06,MI,Marymouth,silver,Mobile App,,Email Campaign,,Unknown,6.0,5920.12,High-Value Customer,-0.28375398759498677,No,0.0,
CUST005811,Julie,Sanchez,,,M,,2025-10-30,Indiana,Murphyfurt,bronze,Online,,,,Unknown,0.0,0.0,No Orders,-1.6386219691779427,No,1.0,5.0
CUST004323,Kayla,Dunn,kayla.dunn15@gmail.com,001-810-906-2916,Other,1978-09-25,2024-02-11,Georgia,Matthewshire,bronze,In-Store,Y,,47.0,45-54,7.0,8079.139999999999,High-Value Customer,0.21035543410545723,No,0.0,
CUST000270,Diana,Cunningham,diana.cunningham307@hotmail.com,001-205-666-4742x3122,M,1951-09-27,2021-01-25,Arizona,East Lonnieberg,GOLD,In-Store,1,Email Campaign,74.0,55+,2.0,2593.31,Repeat Customer,-1.045121721662876,No,1.0,5.0
CUST003146,Erika,Salas,erika.salas3@hotmail.com,+1-830-990-4581,F,1963-11-30,2021-02-10,GA,New Jeffreyhaven,silver,Mobile App,Y,Email Campaign,62.0,55+,4.0,5941.1900000000005,Repeat Customer,-0.2789319454113902,No,1.0,3.0
CUST002853,Tracy,Floyd,tracy.floyd350@hotmail.com,001-512-383-0062,Other,1948-06-15,,Florida,Lake Kelly,Silver,In-Store,yes,TV Ad,78.0,55+,5.0,7765.7,Repeat Customer,0.13862212124231238,No,2.0,2.0
CUST000157,Kelly,Rosales,kelly.rosales141@yahoo.com,913.929.1212,M,2005-07-01,2022-12-17,Ohio,Louisview,Bronze,In-Store,,Social Media,21.0,18-24,4.0,5273.25,Repeat Customer,-0.431795488653507,No,1.0,3.0
CUST003791,Jade,Walker,jade.walker585@yahoo.com,(270)444-1482x243,F,1982-06-08,2021-02-12,FL,Lake Lisa,Gold,Mobile App,N,Search Engine,44.0,35-44,10.0,12659.9,High-Value Customer,1.2586999026831112,No,1.0,2.0
CUST002434,Larry,Huang,larry.huang516@outlook.com,001-716-622-2772x610,F,1944-01-13,2021-12-21,Indiana,Juliefurt,silver,Mobile App,N,Friend Referral,82.0,55+,11.0,16459.55,High-Value Customer,2.1282809460102188,No,0.0,
CUST005919,Daniel,Serrano,daniel.serrano187@yahoo.com,+1-352-719-7245x67106,F,1971-03-17,2025-11-13,MO,Brianville,SILVER,Online,yes,TV Ad,55.0,55+,3.0,6672.59,Repeat Customer,-0.11154506106955704,No,0.0,
CUST001593,Joanne,Jarvis,joanne.jarvis41@outlook.com,971-506-2833x455,M,1991-03-29,2021-07-17,mi,Colebury,SILVER,Online,N,Friend Referral,35.0,35-44,6.0,4265.24,High-Value Customer,-0.6624868385105092,No,2.0,4.0
CUST003912,John,Lewis,john.lewis871@yahoo.com,(628)250-6967x20647,F,1946-08-10,2021-09-30,Indiana,South Kevin,PLATINUM,Online,Y,Friend Referral,80.0,55+,4.0,5852.25,Repeat Customer,-0.2992865933377817,No,0.0,
CUST001984,Jose,Holland,jose.holland167@yahoo.com,(798)539-3039,Other,1945-05-15,2022-08-23,GA,Cruzview,Bronze,In-Store,Y,Search Engine,81.0,55+,7.0,8630.37,High-Value Customer,0.33650893732633363,No,0.0,
CUST003824,Angela,Maxwell,angela.maxwell733@gmail.com,(431)985-8313,M,1964-12-22,2021-03-01,Missouri,Steeleburgh,Silver,Online,1,Walk-in,61.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,0.0,
CUST000089,Joel,Snyder,joel.snyder668@hotmail.com,(891)314-6786,F,1965-12-09,2024-01-02,PA,Laraside,Gold,Online,yes,,60.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,3.0,4.5
CUST001842,Jennifer,Cruz,jennifer.cruz346@hotmail.com,(708)452-9645,F,2000-12-19,2023-06-21,PA,Williamsstad,BRONZE,In-Store,yes,Friend Referral,25.0,25-34,4.0,6246.23,Repeat Customer,-0.2091210413922042,No,1.0,4.0
CUST005273,Curtis,Le,curtis.le264@outlook.com,,F,1952-07-03,2023-11-10,Massachusetts,Kristiborough,SILVER,In-Store,,,74.0,55+,1.0,3255.75,One-Time Customer,-0.8935168984971611,No,0.0,
CUST005416,Peter,Martin,peter.martin646@hotmail.com,636-435-2776,F,1982-01-28,2023-02-02,WI,Kathleentown,gold,In-Store,,Social Media,44.0,35-44,4.0,4994.89,Repeat Customer,-0.49550045601116716,No,1.0,4.0
CUST003569,Jessica,Weaver,jessica.weaver582@gmail.com,001-518-347-4400x054,F,1972-02-10,2021-01-21,Wisconsin,North Stephanie,BRONZE,Mobile App,0,Social Media,54.0,45-54,4.0,7944.46,Repeat Customer,0.17953281230731943,No,1.0,1.0
CUST002006,Joseph,Oneill,joseph.oneill355@outlook.com,(721)534-6164x61526,M,1997-03-07,2022-08-14,fl,Lake Carlfort,Bronze,In-Store,0,Walk-in,29.0,25-34,3.0,4443.860000000001,Repeat Customer,-0.6216081875929013,No,1.0,4.0
CUST001172,Christopher,Hopkins,christopher.hopkins310@yahoo.com,686-595-7240,F,1957-11-23,2026-02-12,IL,Gilbertchester,SILVER,Online,Y,Influencer,68.0,55+,5.0,9414.199999999999,Repeat Customer,0.5158948568692087,No,1.0,2.0
CUST004819,Joseph,Martin,joseph.martin454@hotmail.com,+1-370-877-2309x6694,Other,2004-01-13,2025-11-19,ILLINOIS,North Steven,SILVER,In-Store,Y,TV Ad,22.0,18-24,1.0,1294.63,One-Time Customer,-1.3423352832667208,No,2.0,4.0
CUST005185,Angel,Brewer,angel.brewer928@yahoo.com,(800)349-6870x893,F,1957-07-01,2026-02-23,TX,New Pamelaport,SILVER,Online,Y,Influencer,69.0,55+,2.0,2194.39,Repeat Customer,-1.136417833095258,No,1.0,1.0
CUST005675,Anthony,Charles,anthony.charles782@hotmail.com,597.692.7023x7295,F,1953-01-04,2026-04-22,nj,East Ronniemouth,SILVER,In-Store,1,Search Engine,73.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,2.0,4.0
CUST004453,Kimberly,Cole,kimberly.cole449@gmail.com,790-980-6342,Other,1954-06-07,2023-03-22,Washington,Michaelfurt,silver,Online,no,Email Campaign,72.0,55+,7.0,12211.55,High-Value Customer,1.156091330636815,No,0.0,
CUST005006,Gary,Sullivan,gary.sullivan466@yahoo.com,934-871-7613,Other,2006-11-09,,VA,Rodriguezfurt,Silver,Online,0,Email Campaign,19.0,18-24,7.0,11276.8,High-Value Customer,0.9421661321974815,No,0.0,
CUST001832,Shawn,Williams,,,Other,2008-05-13,2022-04-18,IN,Port Daniel,SILVER,Online,,,18.0,18-24,6.0,8526.84,High-Value Customer,0.3128152483245424,No,1.0,4.0
CUST002918,Stephen,Tate,stephen.tate465@hotmail.com,001-676-333-0994x791,M,1943-01-17,2021-01-15,FL,Emilyport,Silver,In-Store,no,,83.0,55+,5.0,8906.55,Repeat Customer,0.3997149938173471,No,0.0,
CUST001006,Fernando,Hansen,fernando.hansen108@gmail.com,001-723-832-8293x0202,M,2006-10-11,2023-02-17,Georgia,Howardmouth,bronze,Online,1,,19.0,18-24,4.0,2616.58,Repeat Customer,-1.039796191448719,No,1.0,5.0
CUST004974,Dawn,Myers,dawn.myers55@outlook.com,+1-607-336-5611x87407,F,1967-12-19,2023-12-23,Wisconsin,Alanside,GOLD,Online,,,58.0,55+,6.0,11643.93,High-Value Customer,1.0261868415882627,No,1.0,
CUST005228,Crystal,Gonzalez,crystal.gonzalez506@outlook.com,+1-312-493-0431x130,F,1970-10-17,2025-11-04,North Carolina,Christensenberg,Silver,Mobile App,N,TV Ad,55.0,55+,5.0,9536.37,Repeat Customer,0.5438544626390229,No,0.0,
CUST000594,Dawn,Cook,dawn.cook7@yahoo.com,001-531-226-9789,M,1997-05-09,2026-05-09,NY,New Garyfort,GOLD,Online,,Email Campaign,29.0,25-34,2.0,2131.85,Repeat Customer,-1.1507306246549223,No,3.0,2.6666666666666665
CUST005008,Cassandra,Myers,cassandra.myers261@gmail.com,001-888-583-4025x862,Other,1980-06-12,2021-01-27,CA,Lake Samantha,Bronze,In-Store,N,Search Engine,46.0,45-54,5.0,8662.58,Repeat Customer,0.3438804598101322,No,1.0,3.0
CUST002483,Matthew,Wood,matthew.wood352@gmail.com,001-236-984-1434x4622,F,2009-10-05,2024-06-17,GA,East Jeffrey,bronze,In-Store,1,Friend Referral,,Unknown,0.0,0.0,No Orders,-1.6386219691779427,No,0.0,
CUST003184,Jason,Camacho,jason.camacho817@yahoo.com,355.699.5154,F,1988-06-19,2025-12-15,ILLINOIS,West Amanda,BRONZE,Mobile App,,,38.0,35-44,4.0,4741.0,Repeat Customer,-0.5536052633198192,No,0.0,
CUST000645,Andrew,Bush,andrew.bush541@gmail.com,,M,1955-04-12,2024-11-04,Tennessee,Marissatown,Bronze,Mobile App,,,71.0,55+,6.0,11147.54,High-Value Customer,0.9125839218200886,No,1.0,5.0
CUST002341,Loretta,Hodges,loretta.hodges130@hotmail.com,584.586.5230x8045,F,1990-10-21,2024-01-27,FL,Lake Makayla,Silver,Online,yes,,35.0,35-44,3.0,2418.39,Repeat Customer,-1.085153597256359,No,1.0,5.0
CUST001612,Margaret,Crawford,margaret.crawford531@hotmail.com,(931)363-1603,F,1964-12-12,2024-10-07,oh,Jasminemouth,bronze,In-Store,yes,Email Campaign,61.0,55+,2.0,2598.46,Repeat Customer,-1.043943101954973,No,0.0,
CUST000012,Isaiah,Ford,isaiah.ford164@hotmail.com,2134267736,F,2001-11-20,,Florida,North Deniseside,SILVER,In-Store,yes,,24.0,18-24,6.0,7713.9400000000005,High-Value Customer,0.12677642103239556,No,1.0,5.0
CUST005261,Angela,Graham,angela.graham365@gmail.com,426.714.5509,F,1988-11-12,2023-02-02,Tennessee,Jamesville,gold,In-Store,N,Friend Referral,37.0,35-44,7.0,8672.59,High-Value Customer,0.34617133034918307,No,2.0,3.0
CUST000597,Donald,Sawyer,donald.sawyer96@outlook.com,659.959.2248x39589,Other,1969-12-11,2020-09-22,VIRGINIA,South Wendyview,BRONZE,In-Store,N,Walk-in,56.0,55+,4.0,7194.4400000000005,Repeat Customer,0.007884588361377806,No,0.0,
CUST000030,James,Smith,james.smith579@outlook.com,001-645-829-9124x190,F,1951-05-05,2021-05-29,AZ,New Staciemouth,Platinum,Mobile App,0,Email Campaign,75.0,55+,3.0,3580.12,Repeat Customer,-0.8192821655549127,No,2.0,4.5
CUST000720,Jennifer,Cox,jennifer.cox447@outlook.com,(597)382-4575x983,F,1995-02-12,2023-06-07,MD,Lake Aaron,SILVER,In-Store,N,TV Ad,31.0,25-34,4.0,2444.53,Repeat Customer,-1.0791712440205163,No,1.0,4.0
CUST000138,Laura,Walker,laura.walker453@hotmail.com,001-778-281-9148,M,1942-12-18,,AZ,Garymouth,bronze,Mobile App,N,TV Ad,83.0,55+,3.0,4307.34,Repeat Customer,-0.6528519084711446,No,0.0,
CUST005696,Kristin,Payne,kristin.payne309@outlook.com,+1-919-716-0912x689,Other,1942-01-16,2020-10-26,Massachusetts,Olsonville,BRONZE,In-Store,1,Influencer,84.0,55+,6.0,7404.540000000001,High-Value Customer,0.05596769527991654,No,0.0,
CUST002815,Brad,Willis,brad.willis831@gmail.com,966-717-1014x7824,F,1980-12-26,2022-10-06,NY,New Ashleytown,Bronze,Mobile App,,TV Ad,45.0,45-54,2.0,5479.0,Repeat Customer,-0.38470791488630407,No,0.0,
CUST003465,Aaron,Castillo,aaron.castillo707@hotmail.com,(739)398-7568x19299,F,1984-05-26,2026-04-30,NJ,Amyside,Platinum,Online,N,Walk-in,42.0,35-44,5.0,7235.66,Repeat Customer,0.01731812318851789,No,0.0,
CUST004009,Anthony,Fleming,anthony.fleming823@hotmail.com,(610)952-7237x5435,F,1968-06-22,2022-04-14,Georgia,Gomezfort,Silver,Mobile App,Y,Influencer,58.0,55+,6.0,9388.61,High-Value Customer,0.5100383756410063,No,2.0,3.0
CUST000692,Chad,Wilson,chad.wilson628@yahoo.com,001-346-948-4494x1163,M,1951-10-20,2025-04-12,NC,East Amandaburgh,Gold,In-Store,0,Social Media,74.0,55+,4.0,10485.73,Repeat Customer,0.7611232793176701,No,1.0,
CUST002142,Heidi,Ward,heidi.ward646@hotmail.com,775-925-6374x48455,Other,2008-01-24,,Virginia,Barryside,BRONZE,Online,Y,Friend Referral,18.0,18-24,5.0,6081.790000000001,Repeat Customer,-0.2467544830946527,No,0.0,
CUST004708,Daniel,Munoz,daniel.munoz60@yahoo.com,713.235.8626,M,1956-06-20,2024-01-12,Tennessee,West Nathan,Bronze,Online,no,Social Media,70.0,55+,7.0,10024.97,High-Value Customer,0.6556745770626208,No,1.0,5.0
CUST004702,James,Morrison,james.morrison421@yahoo.com,565.305.4767x445,Other,1956-07-02,2025-08-21,MD,Navarroview,bronze,Online,Y,Friend Referral,70.0,55+,4.0,1327.6100000000001,Repeat Customer,-1.334787539972226,No,1.0,5.0
CUST001851,Erik,Herman,erik.herman182@hotmail.com,4452624462,F,1949-05-15,2025-09-06,TX,Danashire,bronze,In-Store,N,,77.0,55+,9.0,14521.17,High-Value Customer,1.6846667966110906,No,1.0,3.0
CUST003126,Gary,Rodriguez,gary.rodriguez975@hotmail.com,714.698.9656x91781,Other,1978-09-05,2022-12-12,New Jersey,East Lisaburgh,Silver,In-Store,N,TV Ad,48.0,45-54,5.0,7145.79,Repeat Customer,-0.003249362859883173,No,1.0,5.0
CUST003893,Gary,Anderson,gary.anderson88@outlook.com,001-924-304-0341x760,M,1968-11-01,2021-02-07,AZ,Meganville,GOLD,Mobile App,0,Email Campaign,57.0,55+,7.0,8328.58,High-Value Customer,0.26744182244320264,No,1.0,4.0
CUST003690,Nicole,Young,nicole.young777@hotmail.com,001-350-861-6131x2178,Other,1967-01-28,2024-06-30,IL,Ibarrahaven,Platinum,In-Store,Y,Influencer,59.0,55+,6.0,11556.130000000001,High-Value Customer,1.0060930920049802,No,1.0,4.0
CUST004347,Vernon,Munoz,vernon.munoz653@gmail.com,001-888-244-1425x33602,M,1953-06-14,2023-08-11,ma,Cruzberg,GOLD,Mobile App,no,,73.0,55+,4.0,7035.33,Repeat Customer,-0.028529039157940198,No,2.0,3.5
CUST002744,John,Kelly,john.kelly15@outlook.com,464.463.5145,M,1967-05-06,2022-09-01,WA,Reynoldsland,gold,Mobile App,0,TV Ad,59.0,55+,7.0,11247.21,High-Value Customer,0.9353942181864412,No,0.0,
CUST004724,John,Cortez,john.cortez558@yahoo.com,7176749503,M,1962-02-10,2024-04-11,FL,Lake Ashleyview,bronze,In-Store,Y,,64.0,55+,4.0,6527.2699999999995,Repeat Customer,-0.14480273407004285,No,2.0,4.0
CUST003087,Jose,Moore,jose.moore760@outlook.com,464.995.0926,M,1989-04-17,2021-03-29,Pennsylvania,Floresside,BRONZE,Online,Y,,37.0,35-44,4.0,4829.280000000001,Repeat Customer,-0.5334016618025959,No,0.0,
CUST000288,Emily,Nelson,emily.nelson321@gmail.com,442-249-3214x95870,Other,1951-09-13,2021-05-04,NY,East Amyside,Bronze,In-Store,Y,TV Ad,74.0,55+,5.0,6104.9,Repeat Customer,-0.24146557019180945,No,0.0,
CUST002695,Amanda,Andrews,amanda.andrews218@outlook.com,+1-447-343-7299x035,Other,1998-07-02,2023-06-12,Georgia,New Cole,BRONZE,Online,,Walk-in,28.0,25-34,6.0,12686.28,High-Value Customer,1.2647371818859248,No,0.0,
CUST003966,Brooke,Wheeler,brooke.wheeler373@gmail.com,(230)858-6548x338,F,1964-11-07,2021-08-05,Pennsylvania,North Monica,bronze,In-Store,,,61.0,55+,4.0,6283.82,Repeat Customer,-0.20051826181548893,No,1.0,4.0
CUST003976,Mckenzie,Castillo,mckenzie.castillo936@hotmail.com,001-859-384-8471x693,F,1962-06-09,2024-05-23,WASHINGTON,Hernandezport,Platinum,In-Store,N,TV Ad,64.0,55+,7.0,10240.44,High-Value Customer,0.704986652492119,No,1.0,5.0
CUST004341,Richard,Pope,richard.pope179@hotmail.com,716-286-0525x7349,Other,1977-04-24,2026-04-30,Georgia,Brittanyview,BRONZE,In-Store,N,Email Campaign,49.0,45-54,6.0,6756.53,High-Value Customer,-0.09233470412171262,No,0.0,
CUST004507,  David ,Robinson,david.robinson563@yahoo.com,001-283-694-9752x7129,F,1970-04-17,2022-12-24,Michigan,Lake Nicoleville,Bronze,Online,,,56.0,55+,4.0,4885.06,Repeat Customer,-0.5206359516459272,No,0.0,
CUST002764,Kristen,Nixon,kristen.nixon386@yahoo.com,867-466-0271,Other,1978-04-29,2025-08-13,NJ,West Roy,BRONZE,In-Store,yes,Influencer,48.0,45-54,0.0,0.0,No Orders,-1.6386219691779427,No,1.0,
CUST004200,Jon,Andersen,jon.andersen925@gmail.com,(897)596-7642,F,1943-07-25,2022-08-07,Florida,North Sarahport,BRONZE,In-Store,1,,83.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,1.0,4.0
CUST002965,Sarah,Jones,sarah.jones525@yahoo.com,+1-914-779-6126x5088,M,2008-06-18,2023-10-28,AZ,Markborough,Bronze,In-Store,N,Influencer,18.0,18-24,4.0,10372.33,Repeat Customer,0.7351707599242276,No,2.0,3.0
CUST000101,Michael,Peck,michael.peck994@yahoo.com,(652)640-4157x4733,M,1996-05-09,2022-04-07,az,New Ericafurt,BRONZE,In-Store,0,Walk-in,30.0,25-34,3.0,2313.41,Repeat Customer,-1.1091791306419287,No,0.0,
CUST003702,Derek,Harper,derek.harper787@hotmail.com,705.572.1864,M,1999-08-30,2021-06-16,New Jersey,Sullivanfort,SILVER,In-Store,,,27.0,25-34,5.0,5822.43,Repeat Customer,-0.30611114473383505,No,0.0,
CUST001748,Jessica,Haynes,jessica.haynes784@gmail.com,894.632.1830x242,F,2008-06-15,2025-09-28,New Jersey,Riveraton,gold,Online,Y,Social Media,18.0,18-24,3.0,2893.36,Repeat Customer,-0.9764528200402798,No,1.0,1.0
CUST004006,William,Wallace,william.wallace769@outlook.com,001-961-473-5599x7177,Other,1963-05-14,2025-12-15,Ohio,North Dana,Bronze,Online,,,63.0,55+,0.0,0.0,No Orders,-1.6386219691779427,No,2.0,5.0
CUST005434,Andrea,Black,,,M,,2025-07-15,New Jersey,,SILVER,In-Store,,,,Unknown,7.0,12047.06,High-Value Customer,1.1184464460245809,No,0.0,
CUST003000,Jason,Hess,jason.hess538@outlook.com,7196878350,F,1996-01-03,2023-09-24,North Carolina,Gillmouth,SILVER,Mobile App,0,Email Campaign,30.0,25-34,8.0,9990.16,High-Value Customer,0.6477080232699777,No,1.0,4.0
CUST004325,Bobby,Wright,bobby.wright915@gmail.com,(812)444-3374x95688,Other,1986-03-23,2021-03-19,FL,South Anthonyberg,bronze,In-Store,N,TV Ad,40.0,35-44,5.0,5180.51,Repeat Customer,-0.4530197977235939,No,1.0,3.0
CUST001271,Henry,Hawkins,henry.hawkins706@hotmail.com,935.399.9400x41084,F,1960-07-19,2023-10-17,Illinois,Murphyberg,GOLD,In-Store,N,,66.0,55+,7.0,13740.59,High-Value Customer,1.5060246662042704,No,1.0,4.0
CUST005496,Veronica,Owens,veronica.owens214@yahoo.com,852.457.8906,F,1972-04-07,2025-11-23,CALIFORNIA,Annehaven,BRONZE,Online,N,Social Media,54.0,45-54,3.0,6193.52,Repeat Customer,-0.22118415688804488,No,1.0,5.0
