customer_id,first_name,last_name,email,phone,gender,date_of_birth,signup_date,state,city,membership_tier,preferred_channel,marketing_opt_in,referral_source
CUST003184,Jason,Camacho,jason.camacho817@yahoo.com,355.699.5154,F,1988-06-19,2025-12-15,ILLINOIS,West Amanda,BRONZE,Mobile App,,
CUST000645,Andrew,Bush,andrew.bush541@gmail.com,,M,1955-04-12,2024-11-04,Tennessee,Marissatown,Bronze,Mobile App,,
CUST002341,Loretta,Hodges,loretta.hodges130@hotmail.com,584.586.5230x8045,F,1990-10-21,2024-01-27,FL,Lake Makayla,Silver,Online,yes,
CUST001612,Margaret,Crawford,margaret.crawford531@hotmail.com,(931)363-1603,F,1964-12-12,2024-10-07,oh,Jasminemouth,bronze,In-Store,yes,Email Campaign
CUST000012,Isaiah,Ford,isaiah.ford164@hotmail.com,2134267736,F,2001-11-20,02/10/2021,Florida,North Deniseside,SILVER,In-Store,yes,
CUST005261,Angela,Graham,angela.graham365@gmail.com,426.714.5509,F,1988-11-12,2023-02-02,Tennessee,Jamesville,gold,In-Store,N,Friend Referral
CUST000597,Donald,Sawyer,donald.sawyer96@outlook.com,659.959.2248x39589,Other,1969-12-11,2020-09-22,VIRGINIA,South Wendyview,BRONZE,In-Store,N,Walk-in
CUST000030,James,Smith,james.smith579@outlook.com,001-645-829-9124x190,F,1951-05-05,2021-05-29,AZ,New Staciemouth,Platinum,Mobile App,0,Email Campaign
CUST000720,Jennifer,Cox,jennifer.cox447@outlook.com,(597)382-4575x983,F,1995-02-12,2023-06-07,MD,Lake Aaron,SILVER,In-Store,N,TV Ad
CUST000138,Laura,Walker,laura.walker453@hotmail.com,001-778-281-9148,M,1942-12-18,12/25/2021,AZ,Garymouth,bronze,Mobile App,N,TV Ad
CUST005696,Kristin,Payne,kristin.payne309@outlook.com,+1-919-716-0912x689,Other,1942-01-16,2020-10-26,Massachusetts,Olsonville,BRONZE,In-Store,1,Influencer
CUST002815,Brad,Willis,brad.willis831@gmail.com,966-717-1014x7824,F,1980-12-26,2022-10-06,NY,New Ashleytown,Bronze,Mobile App,,TV Ad
CUST003465,Aaron,Castillo,aaron.castillo707@hotmail.com,(739)398-7568x19299,F,1984-05-26,2026-04-30,NJ,Amyside,Platinum,Online,N,Walk-in
CUST004009,Anthony,Fleming,anthony.fleming823@hotmail.com,(610)952-7237x5435,F,1968-06-22,2022-04-14,Georgia,Gomezfort,Silver,Mobile App,Y,Influencer
CUST000692,Chad,Wilson,chad.wilson628@yahoo.com,001-346-948-4494x1163,M,1951-10-20,2025-04-12,NC,East Amandaburgh,Gold,In-Store,0,Social Media
CUST002142,Heidi,Ward,heidi.ward646@hotmail.com,775-925-6374x48455,Other,2008-01-24,03/01/2022,Virginia,Barryside,BRONZE,Online,Y,Friend Referral
CUST004708,Daniel,Munoz,daniel.munoz60@yahoo.com,713.235.8626,M,1956-06-20,2024-01-12,Tennessee,West Nathan,Bronze,Online,no,Social Media
CUST004702,James,Morrison,james.morrison421@yahoo.com,565.305.4767x445,Other,1956-07-02,2025-08-21,MD,Navarroview,bronze,Online,Y,Friend Referral
CUST001851,Erik,Herman,erik.herman182@hotmail.com,4452624462,F,1949-05-15,2025-09-06,TX,Danashire,bronze,In-Store,N,
CUST003126,Gary,Rodriguez,gary.rodriguez975@hotmail.com,714.698.9656x91781,Other,1978-09-05,2022-12-12,New Jersey,East Lisaburgh,Silver,In-Store,N,TV Ad
CUST003893,Gary,Anderson,gary.anderson88@outlook.com,001-924-304-0341x760,M,1968-11-01,2021-02-07,AZ,Meganville,GOLD,Mobile App,0,Email Campaign
CUST003690,Nicole,Young,nicole.young777@hotmail.com,001-350-861-6131x2178,Other,1967-01-28,2024-06-30,IL,Ibarrahaven,Platinum,In-Store,Y,Influencer
CUST004347,Vernon,Munoz,vernon.munoz653@gmail.com,001-888-244-1425x33602,M,1953-06-14,2023-08-11,ma,Cruzberg,GOLD,Mobile App,no,
CUST002744,John,Kelly,john.kelly15@outlook.com,464.463.5145,M,1967-05-06,2022-09-01,WA,Reynoldsland,gold,Mobile App,0,TV Ad
CUST004724,John,Cortez,john.cortez558@yahoo.com,7176749503,M,1962-02-10,2024-04-11,FL,Lake Ashleyview,bronze,In-Store,Y,
CUST003087,Jose,Moore,jose.moore760@outlook.com,464.995.0926,M,1989-04-17,2021-03-29,Pennsylvania,Floresside,BRONZE,Online,Y,
CUST000288,Emily,Nelson,emily.nelson321@gmail.com,442-249-3214x95870,Other,1951-09-13,2021-05-04,NY,East Amyside,Bronze,In-Store,Y,TV Ad
CUST002695,Amanda,Andrews,amanda.andrews218@outlook.com,+1-447-343-7299x035,Other,1998-07-02,2023-06-12,Georgia,New Cole,BRONZE,Online,,Walk-in
CUST003966,Brooke,Wheeler,brooke.wheeler373@gmail.com,(230)858-6548x338,F,1964-11-07,2021-08-05,Pennsylvania,North Monica,bronze,In-Store,,
CUST003976,Mckenzie,Castillo,mckenzie.castillo936@hotmail.com,001-859-384-8471x693,F,1962-06-09,2024-05-23,WASHINGTON,Hernandezport,Platinum,In-Store,N,TV Ad
CUST004341,Richard,Pope,richard.pope179@hotmail.com,716-286-0525x7349,Other,1977-04-24,2026-04-30,Georgia,Brittanyview,BRONZE,In-Store,N,Email Campaign
CUST004507,  David ,Robinson,david.robinson563@yahoo.com,001-283-694-9752x7129,F,1970-04-17,2022-12-24,Michigan,Lake Nicoleville,Bronze,Online,,
CUST002764,Kristen,Nixon,kristen.nixon386@yahoo.com,867-466-0271,Other,1978-04-29,2025-08-13,NJ,West Roy,BRONZE,In-Store,yes,Influencer
CUST004200,Jon,Andersen,jon.andersen925@gmail.com,(897)596-7642,F,1943-07-25,2022-08-07,Florida,North Sarahport,BRONZE,In-Store,1,
CUST002965,Sarah,Jones,sarah.jones525@yahoo.com,+1-914-779-6126x5088,M,2008-06-18,2023-10-28,AZ,Markborough,Bronze,In-Store,N,Influencer
CUST000101,Michael,Peck,michael.peck994@yahoo.com,(652)640-4157x4733,M,1996-05-09,2022-04-07,az,New Ericafurt,BRONZE,In-Store,0,Walk-in
CUST003702,Derek,Harper,derek.harper787@hotmail.com,705.572.1864,M,1999-08-30,2021-06-16,New Jersey,Sullivanfort,SILVER,In-Store,,
CUST001748,Jessica,Haynes,jessica.haynes784@gmail.com,894.632.1830x242,F,2008-06-15,2025-09-28,New Jersey,Riveraton,gold,Online,Y,Social Media
CUST004006,William,Wallace,william.wallace769@outlook.com,001-961-473-5599x7177,Other,1963-05-14,2025-12-15,Ohio,North Dana,Bronze,Online,,
CUST005434,Andrea,Black,,,M,,2025-07-15,New Jersey,,SILVER,In-Store,,
CUST003000,Jason,Hess,jason.hess538@outlook.com,7196878350,F,1996-01-03,2023-09-24,North Carolina,Gillmouth,SILVER,Mobile App,0,Email Campaign
CUST004325,Bobby,Wright,bobby.wright915@gmail.com,(812)444-3374x95688,Other,1986-03-23,2021-03-19,FL,South Anthonyberg,bronze,In-Store,N,TV Ad
CUST001271,Henry,Hawkins,henry.hawkins706@hotmail.com,935.399.9400x41084,F,1960-07-19,2023-10-17,Illinois,Murphyberg,GOLD,In-Store,N,
CUST005496,Veronica,Owens,veronica.owens214@yahoo.com,852.457.8906,F,1972-04-07,2025-11-23,CALIFORNIA,Annehaven,BRONZE,Online,N,Social Media
CUST004446,Zachary,Smith,zachary.smith642@hotmail.com,,Other,1958-01-08,2025-07-30,Maryland,Lake Brittany,bronze,Mobile App,,
CUST000812,Adrian,Brooks,adrian.brooks115@gmail.com,712.961.6324,M,1977-12-26,2024-08-28,Illinois,Rodriguezburgh,Silver,Mobile App,Y,Email Campaign
CUST001824,Melissa,Conway,melissa.conway509@yahoo.com,248-450-2759,F,1948-01-22,2021-06-06,wa,Zhangview,gold,Mobile App,Y,Social Media
CUST004134,Caitlin,Huff,caitlin.huff520@hotmail.com,,F,1942-06-01,07/29/2025,Michigan,East Robert,Bronze,In-Store,,
CUST000378,Brenda,Gibson,brenda.gibson936@hotmail.com,221.894.1680,F,1987-08-05,2024-04-21,OH,Matthewburgh,silver,In-Store,0,Social Media
CUST001855,Christopher,Solomon,christopher.solomon724@outlook.com,001-832-377-3765x547,F,1941-07-08,2023-06-29,Pennsylvania,East Erica,silver,In-Store,1,
CUST002552,Tammy,Thomas,tammy.thomas571@gmail.com,509-709-0395x72869,M,1956-06-16,06/09/2023,Indiana,Cindyview,Silver,Mobile App,,Walk-in
CUST000421,Jennifer,Simpson,jennifer.simpson81@hotmail.com,336.434.6692x548,M,1959-06-17,01/03/2023,wa,East Jeffreyborough,bronze,Mobile App,,
CUST005288,Jonathan,Hunter,jonathan.hunter245@outlook.com,942-454-6330,F,1967-10-30,2022-05-17,GA,South Kristen,Bronze,Online,1,
CUST003182,Bobby,Turner,bobby.turner117@hotmail.com,698-357-7873,M,1958-07-31,2021-10-06,FLORIDA,West Tammie,Bronze,Online,yes,Influencer
CUST001566,Christopher,Thompson,christopher.thompson747@yahoo.com,+1-977-442-7054x9857,F,1969-12-05,2025-09-17,MI,East William,BRONZE,Mobile App,N,Email Campaign
CUST000489,Bonnie,Morton,bonnie.morton840@yahoo.com,(427)617-2722x397,Other,1993-05-18,2021-07-30,TEXAS,Lake Jessica,SILVER,In-Store,Y,Email Campaign
CUST004709,Jesus,Medina,jesus.medina302@hotmail.com,(401)301-6329x0004,Other,1984-11-12,2020-09-21,MD,Traceyside,silver,Online,no,TV Ad
CUST003390,Kyle,Hart,kyle.hart529@gmail.com,(373)759-9192,F,2008-01-03,2025-02-21,WI,North Abigail,bronze,Online,Y,Social Media
CUST002287,Kathryn,Lawrence,kathryn.lawrence239@gmail.com,9838491164,F,1954-10-10,2025-01-02,pa,West Matthewbury,silver,Mobile App,0,
CUST003772,Michael,Wilson,,,M,,2024-03-18,PA,,Bronze,Online,,
CUST005398,Tracy,Jones,tracy.jones776@outlook.com,+1-929-857-2865x5902,F,2004-10-15,2021-09-21,MD,Johnsonburgh,BRONZE,In-Store,Y,Friend Referral
CUST001381,William,Parsons,william.parsons25@outlook.com,(669)528-5507,F,1966-01-05,2022-05-08,mi,Johnside,BRONZE,Online,0,Email Campaign
CUST004985,Samantha,Guzman,samantha.guzman407@outlook.com,+1-618-865-9817x60807,F,1998-02-19,2021-12-03,Wisconsin,Danielleland,GOLD,Online,no,
CUST004989,Jason,Golden,jason.golden364@yahoo.com,001-702-265-9266,Other,1943-04-19,2025-09-04,pa,East Anna,GOLD,In-Store,Y,Influencer
CUST002746,Yolanda,Walker,yolanda.walker51@outlook.com,606-941-2315x4024,Other,1953-01-06,2024-07-26,AZ,Smithfurt,Bronze,Online,,Walk-in
CUST002201,Russell,Kelly,russell.kelly445@outlook.com,001-230-701-7846x2742,M,1987-04-18,2025-10-03,Massachusetts,Matthewport,Platinum,Online,Y,Search Engine
CUST002020,Jacob,Allen,jacob.allen304@yahoo.com,390.266.7477x201,M,1989-09-09,2025-06-27,NY,Masseychester,platinum,Mobile App,0,
CUST000605,Karen,Holland,karen.holland662@yahoo.com,001-622-516-1070x518,M,1978-11-13,2021-04-11,TN,Anthonyberg,silver,Mobile App,no,TV Ad
CUST002667,Holly,Dickson,holly.dickson757@gmail.com,957-706-5868x623,F,1963-01-02,03/23/2024,North Carolina,Jacksonland,BRONZE,Online,1,Email Campaign
CUST001750,Corey,Lawson,,,Other,1953-12-31,2022-12-14,Virginia,Jenniferbury,SILVER,In-Store,,
CUST002520,Elizabeth,Johnson,elizabeth.johnson42@yahoo.com,409-433-6272x445,M,1996-08-19,2025-06-09,Ohio,New Amandaton,Bronze,Mobile App,1,Influencer
CUST002497,George,Parker,george.parker783@hotmail.com,3448867118,F,1956-11-06,2024-03-17,Virginia,South Peter,Bronze,Mobile App,,
CUST003180,Anna,Nelson,anna.nelson34@yahoo.com,,F,1959-09-22,2025-09-02,Wisconsin,Garnershire,bronze,In-Store,,
CUST004002,Eric,Baker,eric.baker283@outlook.com,(551)251-0934x667,F,1968-09-09,2023-10-17,Texas,New Jasmine,BRONZE,Mobile App,N,Walk-in
CUST000248,Mark,Bridges,mark.bridges380@outlook.com,(534)260-1367,M,2007-04-16,2020-12-31,NEW JERSEY,Jonesfort,bronze,Online,N,Friend Referral
CUST005477,Jessica,Mcfarland,jessica.mcfarland809@outlook.com,473-662-8053,F,1943-11-08,2024-05-10,WA,New Sarah,silver,Online,1,Social Media
CUST003238,Jennifer,Mitchell,jennifer.mitchell819@outlook.com,598-835-9005x8198,M,1985-02-07,2021-05-16,California,Davistown,Silver,Online,1,Walk-in
CUST000162,Robert,Pierce,,,M,,2022-04-20,VA,,Bronze,In-Store,,
CUST001592,Laura,Fischer,laura.fischer948@gmail.com,464.927.7862x68527,F,1952-05-28,2025-01-05,Maryland,East Michellefurt,Bronze,Online,,
CUST004831,Anthony,Lee,anthony.lee693@yahoo.com,(811)350-6475x66139,F,1959-06-29,2022-08-11,Missouri,North Davebury,Bronze,Mobile App,N,Walk-in
CUST005618,Mary,Walter,mary.walter65@hotmail.com,+1-777-321-2122x7642,M,1974-10-19,2022-10-08,Massachusetts,Port Gregoryton,Bronze,Mobile App,0,Influencer
CUST000502,John,Martin,john.martin819@hotmail.com,+1-930-234-1990,Other,1948-02-16,2021-11-27,Illinois,Port Reneeborough,silver,Mobile App,Y,
CUST004389,Charles,Jimenez,charles.jimenez394@gmail.com,520-766-3267,M,1962-02-24,2025-04-12,MARYLAND,North Eric,bronze,Mobile App,,Friend Referral
CUST002672,Keith,Smith,keith.smith647@gmail.com,250.641.2266x435,M,1976-01-17,2021-12-20,MO,East Michael,Platinum,In-Store,no,Search Engine
CUST005594,Aaron,Martin,aaron.martin515@yahoo.com,001-321-852-0009,Other,1948-10-28,2021-04-08,va,New Danielville,BRONZE,Mobile App,1,
CUST000976,Jason,Ochoa,jason.ochoa448@yahoo.com,474.547.0173x20865,M,1986-09-24,2024-12-22,MISSOURI,South Pamela,Bronze,Online,1,Search Engine
CUST005694,Henry,Chen,henry.chen548@gmail.com,399-305-8098x7079,Other,1976-11-02,2025-03-02,OH,Brianmouth,Gold,Online,1,Search Engine
CUST001943,Julie,Robertson,julie.robertson369@outlook.com,001-736-501-9412x70661,F,1950-08-04,2021-11-19,CALIFORNIA,Susanshire,GOLD,Online,Y,Influencer
CUST002456,Sarah,Kirk,sarah.kirk301@outlook.com,8314916661,F,1957-02-03,2023-09-29,Pennsylvania,Gonzalezport,SILVER,In-Store,Y,Walk-in
CUST003053,Priscilla,Davidson,,,M,,2021-06-16,Indiana,,bronze,Mobile App,,
CUST004840,Kimberly,Carroll,kimberly.carroll531@gmail.com,+1-779-572-8824x6358,Other,1997-04-29,2023-01-06,Washington,West Cassandraberg,bronze,In-Store,yes,Social Media
CUST003832,Christopher,Hernandez,christopher.hernandez445@yahoo.com,(734)858-5697x7104,M,2007-05-02,2026-03-20,TENNESSEE,Holmestown,SILVER,In-Store,Y,Email Campaign
CUST002432,April,Jackson,april.jackson776@yahoo.com,6103320823,M,1972-09-30,2020-12-07,oh,East Travisland,silver,Online,yes,TV Ad
CUST000176,Robert,Hernandez,robert.hernandez745@hotmail.com,885-464-6799x7024,Other,1981-10-30,2025-02-01,nc,North Annaville,bronze,Mobile App,Y,Influencer
CUST002243,James,Walker,james.walker438@gmail.com,001-858-404-8294x07828,Other,1942-01-02,2023-02-13,WISCONSIN,Melissamouth,silver,In-Store,,Friend Referral
CUST005925,Matthew,Williams,matthew.williams290@outlook.com,928.421.8019x428,Other,2002-01-30,2023-06-17,New Jersey,Port Breanna,Bronze,In-Store,no,Search Engine
CUST005303,Kristen,Mullen,kristen.mullen515@hotmail.com,326-384-7167,Other,1966-10-29,11/25/2024,MD,New Monicashire,Bronze,Online,N,Friend Referral
CUST003972,Kim,Cooper,kim.cooper411@outlook.com,+1-208-300-0182x6062,Other,1975-06-30,2022-05-30,NC,North Maurice,bronze,In-Store,0,
CUST000097,Vincent,Williams,vincent.williams520@outlook.com,+1-982-659-5269x495,M,1950-04-08,2022-08-12,NEW JERSEY,Stoneberg,GOLD,Online,1,
CUST001522,Tim,Perez,tim.perez203@hotmail.com,906-298-9354x64639,Other,1963-01-13,2024-03-17,OH,Lake Davidberg,Silver,In-Store,no,Influencer
CUST000294,Jamie,Rich,jamie.rich844@outlook.com,001-251-290-9862x405,F,1961-08-28,2025-04-18,NC,Samanthachester,Silver,Mobile App,no,Email Campaign
CUST001363,Felicia,Knapp,felicia.knapp67@outlook.com,001-229-612-7065x9341,M,1956-08-16,2024-11-30,CA,Port Melvinburgh,Bronze,Mobile App,N,Friend Referral
CUST003830,Morgan,Petty,morgan.petty380@gmail.com,524-850-4988x645,M,1998-01-17,2025-02-09,tx,Kristieport,bronze,Mobile App,no,Friend Referral
CUST001557,Kathy,Hayden,kathy.hayden236@hotmail.com,535.451.4972x490,M,2005-10-02,2024-08-25,Maryland,Edwardsburgh,bronze,In-Store,N,TV Ad
